Remove_noise,nilai,sentimen
responya cepat dokternya ramah biaya konsulnya menit pertama gratis terima kasih halodoc sangat bermanfat aplikasinya,19,positif
dokternya ramah sekali selalu ada waktu meskipun masih pagi begini tidak perlu ke klinik kerumh sakit cukp konsultasi diaplikasi ini terimakasih ini sangat membantu,13,positif
aplikasi bagus respon dokternya cepat sangat membantu sangat di rekomendasi,13,positif
buruk karena baru saja bicara sebentar sudah di akhiri tertawa buat apa aplikasi ini di buat kalau buat ngobrol sama dokter ajah sudah di akhiri bagaimana saya bisa konsultasi sama dokter coba,2,netral
sangat membantu untuk konsultasi masalah kesehatan semoga makin sukses kedepanya terima kasih halodoc,17,positif
dokternya super god and ramah sekali kepada customer,7,positif
sangat membantu sekali adanya aplikasi ini terima kasih halodoc,6,positif
bagus sekali aplikasi ini dokternya dan timnya juga sangat baik dalam memberikan pelayanan kepada user secara uinya sangat bagus dan uxnya mungkin sedikit masukan kalau ditambahkan fitur drakmode agar nyaman di mata dan fitur top up saldo yang banyak seperti ketika ditambahkan dengan fitur saldo mengunakan bayar alfamart minimarket indomaret dulu bakal lebih bagus lagi aplikasinya,14,positif
apkikasi yang bagus sangat membantu perbaiki aplikasi chat kurang memuaskan kasih timer waktu chat sama docter belum kelar chat tahu selesai hadeh,21,positif
sangat bagus dan sangat membantu akan saya rekomendasikan kepada keluarga dan teman yang lain,4,positif
pelayanan oke dan penjelasan dari dokter mudah untuk dipahami,9,positif
aplikasi ini sangat bagus karena chat langsung dengan dokter asli dan mendapatkan jawaban yang akurat dokternya juga ramah dan sabar menungu walaupun belum sempat mengunakan obat yang disarankan dokter tapi saya puas dengan pelayananya terima kasih halodoc pelayanan luar biasa,16,positif
bagus lebih ditingkatkan kembali dipelayanan dokter yang banyak,1,netral
chatnya lama masuknya balasnya juga lama padahal sinyal bagus tingkatkan lagi,-9,negatif
baru saja download apl ini terus langsung buka dan chat dengan dokter mata langsung respon trimakasih apl ini sangat membantu,20,positif
dengan adanya halodoc saya sangat terbantu sekali dan yang paling penting kalau di hitung lebih murah konsultasi di halodoc dan dokter di halodoc bukan dokter kaleng mantap halodoc,6,positif
dokternya asli ramah banget dan sangat membantu jadi untuk konsultasi saja tidak harus pergi rumah sakit pokoknya sangat membantu,9,positif
aplikasi yang benar bermanfat sangat membantu sekali untuk saya dan mungkin kita yang tidak ada waktu dan kurang biaya untuk konsultasi secara langsung menghemat waktu dan biaya alhamdulilah bersyukur dan senang ada aplikasi halodoc ini baru pertama kali download aplikasi tentang kesehatan langsung jatuh cinta sama halodoc dokternya ramah fre konsul pula godjob sukses terus untuk dokter aplikasi ini semoga alah balas kebaikan dokter yang bergabung di aplikasi ini amin,8,positif
membantu sekali dan pelayananya sangat bagus,8,positif
aplikasi yang sangat membantu dan pelayanan yang sangat ramah,4,positif
sangat membantu sekali aplikasi ini dokternya juga sangat ramah dalam menjawab setiap pertanyan god,13,positif
sangat membantu sekali suka suka suka suka,18,positif
dokter ramah tetap diperlukan pemeriksan fisik tidak hanya lewat chat saja,2,netral
sangat bermanfat karena semua dokter ada dansangat ramah dalam konsultasi terimakasih halodoc,17,positif
membantu sekali dokternya baik fast respon,8,positif
aplikasi sangat membantu dengan pelayanan dokter yang baik dan sangat memuaskan terima kasih halo doc sukses selalu,20,positif
bagus banget recomended banget buat jaga dirumah apalagi buat anak kosan kaya aku,9,positif
bagus banget aplikasi ini bisa lgs chat sama dokternya terus bisa lgs dapat saran yang terima kasih halodoc,8,positif
malam ini saya konsultasi lagi di apa halodoc jawaban dari dokter sngat membantu terima kasih banyak ats bntuanya,4,positif
fast respon semoga bisa jadi aplikasi yang baik kedepanya,-1,netral
responya cepat dan dokternya ramah sekali,7,positif
fast respon pertahanan semoga apl ini bisa membantu,8,positif
aplikasi yang membantu dokter juga menjelaskan dengan detil dan langsunv diberi resep sesuai keluhan trimakasih,2,netral
recomended banget untuk konsultasi respon cepat dan jawaban sangat detail dan memuaskan terimakasih telah membuat aplikasi ini yang sudah sangat membantu,29,positif
syukron dengan aplikasi ini saya bisa leluasa kapanpun dan dimanapun untuk berkonsultasi langsung dengan dokter yang baik dan ramah,-1,netral
walaupun jawaban sama dngan dokter lain tapi paling tidak penjelasanya jujur apa adanya tdak berbelit fast respond terima kasih very much halodoc sangat mbantu,5,positif
sangat membantu dalam memberikan solusi meskipun belum bisa langsung diobatin karena ternyata harus periksa ke dokternya langsung untuk tahu penyebabnya baru bisa dilakukan pengobatan terimakasih halodoc semoga bisa buat janji dengan dokternya juga disini jadi saya bisa segera sembuh,17,positif
dokternya cepat respon dan cepat tangap aplikasinya sangat membantu terima kasih halodoc,19,positif
sangat membantu dokternya juga cepat jawabnya,10,positif
sampai sat ini bagus saya sudah konsul dan semua yang anjur dokter di resep mnjur di anak saya,-9,negatif
sudah kali sesi dengan dokter specialist oke dan mudah dipahami mantap,13,positif
saya baru coba konsultasi dengan dokter di apk ini dan menurut saya ini sangat membantu orang sperti saya yang minim waktu untuk pergi ke klinik rekomendasi obat langsung diberikan terimakasih,5,positif
yah sedikit membantu sadar diri juga semuanya nga gratis,2,netral
saran bagus dan semoga bisa memotivasi saya biar cepat punya momongan amin,9,positif
sangat bermanfat bagi saya khususnya untuk konsultasi masalah psikologi thank you,5,positif
apa bagus jawaban dokter memuaskan cepat,10,positif
sangat membantu disat kita blom sempat pergi ke dokter ada halodoc yang membantu terimakasih halodoc,16,positif
dilayani dengan sangat baik untuk setiap pertanyan,6,positif
aplikasi bagus untuk yang tidak bisa keluar rumah untuk cek ke dokter umum dokternya ramah sabar dan tidak buru dalam menangani keluhan pasien so recomended,-9,negatif
aplikasi ini amat sangat membantu sunguh luar biasa terima kasih halodoc,13,positif
sangat membantu sekali untuk ibu rumah tanga yang bisa kluar seperti saya,0,netral
sangat membantu sekali terimakasih halodoc biar bintang yang berbicara,4,positif
sangat memuaskan dan sangat membantu saya dokternya ramah ramah baik hati,27,positif
sangat rekomen banget dokternya baik dan memberikan solusi dengan tepat,10,positif
tidak perlu ribet tidak perlu lama apalagi antri mantul ditambah driver yang sabar dan tahu jalan banget pertahankan,-8,negatif
recomended banget buat yang ingin konsultasi langsung ke dokter dan konsultasi segala macam penyakit wajib download dan punya aplikasi ini di hp kalian selain dokternya benar specialis night clas pelayananya juga sangat ramah fast respon kepada pasien dan tentunya selalu diberikan jalan untuk kesembuhan mulai dari obatan dan lain sudah dijelaskan secara detil terima kasih halodoc,12,positif
sangat membantu dan sangat cepat responya,13,positif
saya barusan sudah dalam tahap konsultasi dengan dokter tapi tiba tiba aplikasinya tidak dapat digunakan saya coba buka aplikasinya dari awal tapi bahkan tidak bisa klik apapun terus saya clear data dan waktu klik mulai sekarang ternyata benar benar tidak bisa diklik terus saya juga coba uninst dan instal kembali tapi hasilnya tetap sama jadi intinya aplikasinya benar benar tidak bisa digunakan karena tidak bisa meng klik apapun itu kenapa mohon dikonfirmasi,-3,negatif
informasi dan pelayanan sangat bagus,10,positif
beruntung banget ketemu apa ini benar recomended barusan saja habis live chat sama dokter khalid responya cepatdan benar diketik bukan robot sampai dikasih resep obat juga saya suka sekali apa ini yang download jangan ragu disini juga ada dokter specialist jadi kamu bisa tanya apapun keluhan kamu yang jawab dokternya langsung bukan robot buruan download nyesel tidak download apa ini pokonamah,-8,negatif
waktu konsultasi langsung dijawab dengan cepat dokternya juga ramah sehat selalu pak bu dokter agar bisa melayani orang orang yang membutuhkan informasi cepat terimakasih,23,positif
sangat membantu terimakasih para dokter yang tergabung dalam aplikasi ini,8,positif
dokternya ramah cepat dan tepat memberikan saran langkah apa yang diambil,6,positif
sangat suka dengan aplikasi ini karena saya tingal didesa jauh konsultasi kedokter dengan harga konsultasi yang lumayan dengan adanya aplikasi ini serasa dekat konsultasi tanpa perlu keluar rumah hanya resep obat saja yang harus dibeli puas banget sekarang tidak bingung lagi terimakasih apa holodoc sangat membantu,-12,negatif
layanan baik cepat dan profesional,9,positif
selalu dapat diandalkan disat sat genting terimakasih halodoc dan para dokter yang baik semoga selalu diberkahi usahanya amin,12,positif
saya senang mengunakan halodoc dokternya sangat ramah dan baik menjawabnya,13,positif
top tapi kalau bisa pilihan untuk spesialisnya lbh di perbanyak terima kasih,13,positif
sangat membantu jika sakit langsung bisa dapat obat segera thank you halo doc apa,9,positif
membantu kita cepat tangap mudah untuk males keluar terima kasih halodoc god banget,9,positif
suka sekali dokternya langsung respon ramah,12,positif
sangat membantu tapi tergantung dokternya ada yang tidak acuh ada juga yang perhatian tapi kbnykn yang baiknya,3,netral
halodoc memang membantu sekali untuk membantu mengetahui awal masalah dalam kesehatan diri dan dokternya ramah penjelasan mudah untuk dipahami terimakasih halodoc,28,positif
aplikasi halodoc sangat bermanfat sekali respon dokternya sangat cepat bahkan di hari libur mingu setidaknya tidak bingung sakit yang lagi dihadapi tidak perlu bertanya gogle kup buka aplikasi halodoc tingal pilih dokter yang ingin di konsultasikan swsuai dengan kondisi sakit yang lagi di hadapi terima kasih halodoc,-27,negatif
baru pakai sekali untuk konsultasi pelayananya cukup bagus,-1,netral
sangat membantu sekali infonya dan balasan chat dengan dokter cepat dan tangap kalau bisa tidak perlu pakai bayar lebih enak dan lebih baik terima kasih halodoc,26,positif
suka banget sangat terbantu sekali dengan aplikasi ini terima kasih halodoc,6,positif
sangat membantu sekali alhamdulilah cepat balas chatnya,13,positif
masih rada grogi cara kita berkonsultasi sama dari waktunya krg lama tapi terbantu terima kasih halodoc,-6,negatif
saya sangat suka dan puas dengan pelayanan halodoc penjelasanya mudah dimengerti,13,positif
aplikasinya bagus tapi bintang dulu nanti kalau sesi ke dua konsul sama dokternya memuaskan lagi baru tidak kasih bintang,2,netral
sedikit masukan untuk bisa filter dokter dan posisi karena sulit menemukan dokter yang ada di sekitae kita,-6,negatif
sangat membantu saya baru tahu aplikasi ini pokok puas dengan pelayanan dokter ramah terima kasih smoga cocok dengan resep yang dberikn dokter buat saya tidak susah lagi kdokter tgal beli apotek obat,10,positif
bagus banget apa halodoc chat dengan dokter cepat diresponya terima kasih halodoc,10,positif
bagus bisa cepat tahu sehinga bisa membuat tindak pencegahan sebelum pengobatan,14,positif
bagus banget sangat membantu semoga selalu gratis supaya bisa membantu untuk keluarga yang kurang mampu bertemu dengan doktet sepesialis yang hebat itu,10,positif
aplikasi yang sangat membantu sekali untuk konsultasi ke dokter spesialis manapun tanpa harus ke klinik dan dokternya ramah terima kasih halodoc,8,positif
aplikasi sangat membantu dokternya fast respond dan ramah,8,positif
sangat membantu sekali apliksai ini kita bisa lngsng konsultasi dengan dokternya lngsng dan kalau membeli obat kita tingal klik saja sambil duduk manis,9,positif
sangat membantu dan dokternya fast respon terimakasih halodoc semoga kedepanya tetap gratis untuk membantu orang banyak,30,positif
rekomended dengan apa ini karena dengan halodoc ini kita bisa langsung berhubungan dengan spesialis hanya saja penjelasan sedikit kurang memuaskan menurut saya,-3,negatif
layanan ok tapi tolong di jawab dengan baik setiap pertanyan dan intinya terima kasih,20,positif
sangat membantu memberikan jawaban atas pertanyan serta solusi dari penyakit dan keraguan atas penyakit yang sat ini kita rasakan,-9,negatif
cara penjelasanya dari para dokter sangat nyaman ramah dan sangat membantu terima kasih halodoc,22,positif
keren aplikasi ini bisa membantu banget dsat praktek dokter yang lagi tutup respon dokternya juga cepat terbaik,1,netral
sangat sangat membantu apalagi disat kita sedang terbatas jarak waktu malam hari rumah jauh dari rumah sakit tetapi butuh informasi cepat dari ahlinya,6,positif
sangat membantu jadi lebih mudah untuk berkonsultasi,13,positif
saya sangat menyukai halodoc responya cepat dan sangat memuaskan,15,positif
penjelasan yang sangat jelas dan sangat bermanfat,5,positif
kenapa setiap saya ingin melengkapi data nama saya slu tiba tiba keluar sendiri dan akhir tidak bisa tanya jawab dengan dokter,-8,negatif
sangat sangat puas dan membantu cuma tidak sabar ajah kalau dapat driver dan apoteknya kejauhan,11,positif
alhamdulilah sangat membantu sekali aplikasi halodoc ini dokternya ramah banget respon cepat pokoknya bagus banget,16,positif
aplikasi yang sangat membantu orang yang sakit dan bisa ngobrol langsung dengan dokter ahli semoga makin bermanfat banyak orang yah,-1,netral
terima kasih halodoc dokternya ramah banget jawab cepat dan jelas cuma kadang agak sulit menemukan dokter mungkin karena penguna halodoc yang memang banyak membantu sekali,20,positif
apa ini sangat membantu saya untuk menjadi lebih baik lagi terus dokternya ramah balesin satu persatu chat dari aku terimakasih halodoc,17,positif
suka banget sama aplikasi ini dokternya baik semua jadi nyaman kalau konsultan nga perlu malu malu lagi terimakasih halodoc,15,positif
senang sekali dengan aplikasi ini dokternya cepat respon dan ramah,10,positif
sangat sangat membantu pelayanan juga sangat bagus recomended banget,19,positif
membantu untuk penyakit gejala umum menanyakan obat pada dasarnya tetap harus periksa langsung,-9,negatif
sangat membantu dan dokternya juga ramah ramah,17,positif
terimakasih halodoc aplikasinya sangat bermanfat bagi orang orang tidak memiliki cukup waktu untuk datang ke dokternya langsung pelayananya juga gratis tidak pakai biaya apapun kecuali obatnya tapi di wilayah saya masih belum bisa beli obatnya dengan perantara gojek jadi tetep harus keluar buat beli obatnya,-11,negatif
aplikasi sangat bermanfat dan sangat membantu dokternya ramah sat konsultasi win solution untuk rumahnya yang jauh dari rumah sakit bisa tanya dokter di halodoc dulu untuk penanganan tahap dan dokter spesialisnya sangat lengkap terimakasih halodoc,13,positif
lumayan bagus mudahan gratis terus,8,positif
trimkasih untuk halodock sangat membantu walau tidak semua dokter memberi penjelasan yang memuaskan,1,netral
bagus banget aplikasi dokter ramah,4,positif
saya sangat berterima kasih telah dapat bergabung di aplikasi halodoc dengan ini mungkin bisa menyelsai masalah penyakit yang ada di tubuh saya sekali lagi saya sangat berterima kasuh,-31,negatif
apliaksinya sangat membantu untuk mengetahui penyakit yang dialami dan cara menanganinya bagimana karena dapat bertanya sama dokter yang ahli dibidangnya masing masing terima kasih halodoc,1,netral
tolong segera di respon keluhan saya saya tadi pagi transaksi beli obat dengan pembayaran mengunakan gopay sebesar tetapi kenapa tidak ada list riwayatnya obat juga tidak datang sementara saldo gopay saya sudah terpotong tolong segera respon emailsaya,-7,negatif
sangat membantu awalnya ragu sama aplikasi ini tidak taunya bagus bnget para dokter ramah tamah dalam hal membantu,14,positif
sangat membantu dan cepat memberikan solusi terima kasih,17,positif
mudah fast respon terbantu,6,positif
kenapa saya tidak bisa menerima kode konfirmasi sat pertama kali login pakai nomer telefon saya sudah memakai krtu yang berbeda tapi tetap tidak dapat sms kode sudah pencet hubungi kembali berkali tetap saja tidak menerima kodenya tolong apk di perbaikin lagi,-19,negatif
aplikasi ini sangat membantu untuk orang orang yang super sibuk tapi masih bis mengontrol kesehatanya bagus banget,8,positif
trimakasih helodoc sangat membantu saya trimakasih dokternya ramah dan respon baik sukses selalu dan sehat selalu untuk kita semua amin,29,positif
terimah kasih sangat membantu dan menjaga privasi pasien,6,positif
penjelasan cukup baik respon bisa lbh dipercepat,3,netral
saya sangat puas dengan aplikasi ini setiap pertanyan saya selalu direspon dengan cepat dan pelayananya sangat memuaskan,7,positif
saya sudah instal tapi tidak bisa dibuka yah aplikasinya,-5,negatif
aplikasi ini sangat bermanfat apalagi sperti saya yang tingal di pelosok negri nan jauh dari jangkauan dokter gratis,-15,negatif
puas banget sama pelayanan di halodoc sekali konsul langsung mendapat respon di gratis pula hihi cocok di sat keadan yang tidak bisa dokter langsung,18,positif
saya sangat senang dengan adanya apl halo dokter ini sekarang saya tidak perlu bingung lagi jika anak saya sakit karena sudah ada halodokter beres terimakasih halodokter,-4,negatif
untuk halodoc mungkin metode pembayaran bisa di tambah bisa mengunakan jasa minimarket saya merasa kesulitan untuk pembayaran ketika ingin membeli obat dan bingung terima kasih,-6,negatif
sangat membantu sekali dan ini aplikasi yang sangat bermanfat,0,netral
saya puas dengan layanan aplikasi ini jadi mempermudah saya dalam menanyakan keluhan yang saya rasakan,-14,negatif
banget aplikasinya cuma banyak dokter yang sibuk tapi overal puas saya terima kasih,4,positif
halodoc trimakasih dengan jadirnya halodoc sedikit membantu mengetahui diagnosa sakit yang dialami solusi untuk tindak lanjutnya respon cepat dan baik semoga amanah membawa keberkahan amin,15,positif
sangat membantu sekali tadi bingung bisa tidak bingung lagi tapi sayang sekali sesi tanya jwab sebentar banget coba diperpanjang dong durasi terima kasih untuk dokter yang sudah jwab prtnyan aku yah jwaban memuaskan,12,positif
sangat membantu sekali apalagi sya yang agak bagaimana begitu kalau harus bertatap muka secara langsung dengan dokternya,-2,netral
doketer yang sangat ramah aplikasinya sangat membantu,10,positif
konsultasi dengan dokter sangat baik respon cepat serta penjelasanya sangat mudah dimengerti untuk tindakan pengobatan yang harus diberikan kepada anak saya yang sedang sakit,0,netral
layanan bagus tingkatkan lagi dengan akses dan sumber daya dokternya semoga aplikasi ini bisa berguna bagi seluruh masyarakat disemua kalangan,9,positif
aplikasih yang bagus dan mudah konsultasi langsung sama docternya terimakasih halodoc,15,positif
suka banget dengan bu dokternya moga dengan konsultasi ini bisa membuat perubahan saya yang lebih baik lagi penjelasan yang jelas tepat bijak makasi halodoc,8,positif
pelalananya bagus kemasanya juga rapi tidak perlu repot lagi untuk antri,-6,negatif
terimakasih banyak sangat membantu semoga bayiku selalu sehat,21,positif
baru download dan bertanya ke dokter rina terimaksih halodoc karena aplikasi ini sangan berguna banget dengan masyarakat seperti kita sekali lagi terimakasih,5,positif
saya merasa senang dengan apa halodoc dokternya ramah pelayananya memuaskan,7,positif
sangat membantu semoga rezekinya semua dokter barokah dan bisa membantu orang yang belum mengerti tg kesehatan,7,positif
sangat membantu apalagi untuk saya yang anak susah diajak dokter untuk konsultasi sementara sebelum bnar harus dokter terimakasih halodoc,-7,negatif
baru pertama kali pakai aplikasi ini sangat mudah dan dokternya ramah terima kasih halodoc,11,positif
sangat puas dengan pelayanan konsultasinya tapi sayangnya waktunya kurang,7,positif
aplikasi ini sangat membantu sekali untuk bantuan saran para dokter sudah begitu ramah lagi,11,positif
aplikasi ini sangat membantu saya dalam konsultasi dan selalu dapat fedback saran obat terima kasih kasih halodoc mohon tingkatan lagi pelayananya,12,positif
sangat cepat tangapanya dan di jelaskan secara detail sekarang tidak harus datang ke rumah sakit jauh jauh kalau ada halodoc di rumah,-10,negatif
sangat membantu sekali buat saya yang irt tidak perlu lelah lelah keluar rumah dan tidak perlu khawatir lagi bila ada salah satu keluarga yang sakit tingal klik langsung kosultasi dengan doktr mudah mudahan halodoc kedepanya semakin bagus lagi,5,positif
maf saya hanya bisa memberi bintang saja dikarenakan pada sat saya ingin melakukan pencarian obat dan melakukan pencarian nama obat selalu saja bermasalah,-22,negatif
mantap dokternya responsif tapi kurang ramah,7,positif
sangat membantu dan pelayananya cepat,10,positif
aplikasi sangat membantu juga berharap lebih untuk halodoc lebih baik lagi,9,positif
cepat tangap sigap jelas terperinci,11,positif
sangat bermanfat semoga lancar slu tapi jadi yang trbaik,5,positif
awal kecewa karena tidak bisa chat dengan dokter hubungi chat suport di bantu permasalahan bisa chat dan pesan obat di halodoc tolong respon chat suport dipercepat,13,positif
dokternya baik dan cepat tangap penjelasan sangat rinci dan mudah dimengerti halodoc,16,positif
selalu on time dan harga terjangkau,3,netral
sangat membantu kita yang butuh arahan informasi tindakan medis darurat di lokasi jauh dari pusat medis gratis masya alah sudah bisa konsultasi gratis dengan berbagai dokter ahli saya sangat merekomendasikan aplikasi ini saran dong ada asuransi saya ikut,5,positif
senang banget sama aplikasi ini sangat membantu untuk konsultasi dengan dokter spesialis,19,positif
sangat membantu dengan dokter yang ahli di bidangnya dan berkompeten trimakasih halodoc,6,positif
terimakasih layanan yang cukup membantu,2,netral
sangat membantu untuk lebih mendalami peyakit yang kita alami terima kasih halodoc,4,positif
sangat bagus dan baik dokter fast respon dan baik hati meskipun kita salah bicara atau rewel untuk kesembuhan beliau tetap profesional,8,positif
recomended banget buat kalian yang ingin konsultasi segala macam penyakit wajib download aplikasi ini selain dokternya benar specialis hight clas pelayananya juga sangat ramah fast respon dan tentunya selalu diberikan jalan untuk kesembuhan mulai dari obatan dan lain sudah dijelaskan secara detil terima kasih halodoc,3,netral
aplikasinya sangat membantu dokter ramah,12,positif
trimakasih dari bima di halodoc saya jadi tidak khawatir lagi krna saranya yang menenangkan aplikasinya sangat membantu,-2,netral
sangat membantu dan simple untuk konsultasi tanpa harus mengantri terima kasih bapak dan ibu dokter yang telah membantu semoga sukses selalu amin,19,positif
dijamin dokternya ahli dibidangnya apa yang sangat bagus buat yang urgent,-7,negatif
terima kasih telah memberi pengalaman konsultasi dokter yang menyenangkan karena mudh praktis dan juga bisa membeli obat scra online dengan harga yang terjangkau,8,positif
sat bertanya di layanin dengan baik dan ramah sekali terima kasih,13,positif
konsultasi baik dan mudah di mengerti dokter juga ramah serta membantu memberikan solusi untuk masalah seputar kesehatan sukses terus untuk halodoc,25,positif
penjelasanya jelas respon cepat baik ramah,14,positif
sangat senang dengan pelayanan,11,positif
semoga balasan chat bisa lebih cepat dan memberikan penjelasan tanpa harus ditanya terus dokter,10,positif
god mudah di fahami untuk bisa di aplikasikan keseharian,4,positif
penjelasan cukup jelas dan bahasanya mudah di mengerti,5,positif
sangat membantu disat waktu yang benar mendesak the best,0,netral
cukup memuaskan konsultasi bersama halodoc hemat waktu dan tidak perlu repot cari klinik konsultasi pokoknya is the best aplikasi halodoc semoga bermanfat buat masyarakat indonesia,-2,netral
dokternya baik ramah kalau memberikan tips juga jelas,12,positif
respon cepat saran apa semoga konsultasi gratis dokter bukan hanya pada sat tertentu saja melainkan bisa seterusnya terimakasih,6,positif
aplikasi yang membantu sekali dikala saya tidak bisa pergi keluar rumah,-13,negatif
respon cepat dokternya ramah terimakasih sangat membantu,22,positif
fast respon cukup jelas dengan konsultasi terimakasih,6,positif
gampang dan mudah kalau penasaran tentang masalah kesehatan tingal lewat halodoc,3,netral
sangat membantu disat anak sakit dan tidak bisa ditingal sementara dirumah hanya sedang berdua dengan anak dapat dengan mudah membeli obat di apotek lewat halodoc pembayaran sangat mudah mengunakan saldo halodoc terimakasih halodoc,6,positif
respon cepat bahasa mudah dimengerti dan banyak pilihan dokternya mantap ini bintang,18,positif
konsultasi lengkap dengan resep dan gambar dokternya juga enak untuk konsultasi,18,positif
maf ini kenapa saya update aplikasinya tapi berulang kali saya coba tetap tidak bisa kenapa,-7,negatif
puas dengan apl halodoc respons cepat dan jelas,10,positif
sangat cepat responya sangat membantu dan sangat ramah dokternya,21,positif
rekomended banget dokternya juga ramah dan di mengerti semua penjelasanya,5,positif
alhamdulilah terbantu banget sama aplikasi ini bisa konsultasi dengan dokter dan pelayanan baik,12,positif
responya cepat memberikan jawaban singkat dan jelas,4,positif
tidak ada konfirmasi sms ke nomer saya jadi tidak bisa aktif sudah berulang kali coba,1,netral
apa yang sangat bagus dokter lebih fast respon dibanding apa tetanga sebelah,-7,negatif
baru nyoba pertama kali sempat bingung takut tidak ada yang respon dokternya karena sudah ternyata ada yang respon dan cukup memuaskan sangat membantu sekali,3,netral
aplikasi ini sangat membantu dari mulai pemesanan obat sampai konsultasi dokter pokok lengkap banget semoga bisa di tingkatkan lagi pelayanan aplikasinya dan semoga makin banyak apotek yang bekerja sama dengan halodoc terima kasih halodoc,20,positif
sangat membantu bisa konsul kapan dan dimanapun,7,positif
sangat bermanfat respon dokter cepat walau sudah larut malam,8,positif
cukup membantu menghemat waktu dan pelayanan ramah,7,positif
saya verifikasi gagal terus padahal sinyal bagus,-5,negatif
selamat malam halodoc aplikasi yang sangat membantu banget buat aku dan mungkin buat semuanya juga benar puas sama pelayananya semoga kedepanya aplikasi ini semakin membantu siapa saja yang sedang sakit love halodoc,8,positif
cukup membantu lebih epektif dan dokter spesialis kandungan juga ramah terima kasih,13,positif
pelayanan ok ramah cepat dan memuaskan sukses selalu buat halodoc terimakasih,29,positif
dokter dokternya sangat ramah dan responya sangat cepat dan untuk dokter isnaini dari syaraf dokternya baik dan penjelasanya sangat membantu,21,positif
kebantu banget dengan adanya aplikasi ini jadi tidak repot harus kluar rumah terima kasih halodoc,-10,negatif
aplikasi yang sangat bagus dan membantu untuk konsultasi dengan dokter,3,netral
trimksih setelah adanya aplikasi ini sya yang kampung sangat terbantu,-6,negatif
sangat membantu sat dibutuhkan respon dokter cepat pertanyan dokter detail,14,positif
sangat bagus kalau dapat konsultasi secara gratis smoga ini bermanfat untuk orang yang tidak mampu,5,positif
sangat membantu dan sangat bermanfat terimakasih,15,positif
sangat membantu sekali tangapanya sangat ramah,14,positif
puas banget sama pelayanan cepat harga lumayan bersaing saya cari obat ini lumayan susah tapi di halodoc tersedia terima kasih halodoc,14,positif
sangat puas jawaban sangat singkat,9,positif
adanya apl halodoc ini sangat membantu balas chat dari para dokter cepat terimakasih halodoc,18,positif
walaupun sudah tidak bisa bayar cash tapi tetep ok halodoc ini terima kasih,9,positif
barangnya sesuai dan cepat,6,positif
detail ramah dan cepat tangap,10,positif
keberadan docter sat diperlukan sangatlah diharapkan penderita sakit walaupun saya apabila demam flu batuk atau terluka saya jarang ke docter hanya beli di apotik dan sembuh,-20,negatif
aplikasi ini sangat membantu apalagi didukung oleh para dokter yang benar mumpuni dibidangnya masing thnks halodoc,2,netral
pencarian mudah dan pengantaran cepat,7,positif
aplikasi yang bagus sangat membantu buat kita yang belum sempat ke dokter atau rumah sakit langsung terima kasih,1,netral
bagus sangat bermanfat dan dokter juga cepat dalam penanganan sangat terbantu sekali,14,positif
saya kasih dulu karena obat yang saya butuhkan tidak bisa klik dengan cara cek harga tapi saya suka begitu saya tanya dokter yang bersangkutan langsung quick respon terimakasih,-17,negatif
sangat membantu saya apa lagi kondisi saya ngasuh dua anak yang masih kecil kecil,-18,negatif
suka sekali dengan aplikasih ini semua masalah bisa atasi,-5,negatif
cukup membantu dokter ramah,4,positif
aplikasinya sangat membatu sebgai pertolongan pertama suka banget sama halodoc dokternya baik dan menjelaskan dengan detail jadinya nyaman konsultasi,28,positif
sangat sangat puas terima kasih banyak sudah luncurkan aplikasi seperti ini sangat membantu sekali,20,positif
bagus sekali aplikasi ini dengan adanya aplikasi ini saya bisa konsultasi sebelum tindakan ke puskesmas atau ke rumah sakit,-6,negatif
alhamdulilah pertama konsultasi langsung dapat respon positif terhadap masalah yang saya hadapi sekarang terima kasih halodoc semoga tetap dipertahankan kualitas dan kuantitas,18,positif
seru banget karena bisa langsung chat sama dokter dan jadi lebih tahu untuk penyakit yang diderita,9,positif
responya cepat dan cukup jelas solusinya,2,netral
saya baru coba dan sangat menenangkan memakai aplikasi ini karena saya tidak begitu punya waktu untuk konsultasi dan antri di rumah sakit terima kasih para dokter yang sudah membantu,3,netral
sangat ramah dan selalu merespon trimaksih banyak atas konsultasinya smoga dengan resep ini sembuh amin,20,positif
aplikasinya ngebantu banget masih ada dokter yang stand bye dengarkan konsultasi pasienya keren,0,netral
sangat membantu saya dalam bidang kesehatan dan tidak perlu ribet,0,netral
boleh juga barusan tes ditangapi konsul gratis dengan segera meski kalau penanganan lebih lanjut tetap perlu pengamatan langsung tapi not bad aplikasi ini terus kemarin juga dikirim obat gratis dari rumah sakit pakai daftar halodoc ini ok sementara boleh bintang semoga tetap,16,positif
ternyata ada manfatnya kita bisa konsultasi sama dokter gratis dokternya baik lagi malam dichat masih nerima,13,positif
syukurlah mantap kali tidak kecewa dokter fast respon tidak lelah nunvgi dan memang asli bukan gadungan langsung tahu praktis sakitnya,10,positif
halodoc saya tanya saya belum nikah umur tapi mens saya tidak teratur biasanya saya mens sekitar hari dan jangka waktu bersihnya biasanya sampai hari tapi kemarin jangka waktunya lebih sampai hari baru mens dan sekarang sudah bulan saya tidak mens tapi bukan brti saya hamil,-11,negatif
